item,count,suggested_standard_name,is_food_guess,standard_name,is_food
Washing Powder,20,Washing Powder,FALSE,Washing Powder,NO
Washing Powder 2,2,Washing Powder,FALSE,Washing Powder,NO
Water,8,Water,TRUE,Polytank Water,NO
Water Sachet,1,Sachet Water,TRUE,Sachet Water,NO
Welding,2,Welding,FALSE,Kitchen Accessories,NO
Wele,1,Wele,TRUE,Wele Meat,YES
White pepper,1,White Pepper,TRUE,White Pepper,YES
White Pepper,1,White Pepper,TRUE,White Pepper,YES
White rubber,4,White rubber 2,FALSE,White Takeaway Rubber,NO
White Rubber,7,White rubber 2,FALSE,White Takeaway Rubber,NO
White rubber 2,7,White rubber 2,FALSE,White Takeaway Rubber,NO
White Rubber 2,1,White rubber 2,FALSE,White Takeaway Rubber,NO
White rubber 3,1,White rubber 2,FALSE,White Takeaway Rubber,NO
Wings,3,Wings,TRUE,Chicken Wings,YES
"Wood, net, nails, Shelves",1,"Wood, net, nails, Shelves",TRUE,Kitchen Accessories,NO
Wrapper,1,Wrapper,FALSE,Food Wrapper,NO
XL Rice 2,1,XL Rice 2,TRUE,Rice,YES
Yam,1,Yam,TRUE,Yam,YES
Yeast,5,Yeast,TRUE,Yeast,YES
Yellow mustard,1,Yellow mustard,TRUE,Mustard,YES
Yellow Mustard,1,Yellow mustard,TRUE,Mustard,YES
Zara rice 2,1,Zara rice 2,TRUE,Rice,YES
